service_id,date,exception_type
cal3-sat-16,20230520,2
cal3-sat-16,20230715,2
cal3-sat-16,20230722,2
cal3-sat-16,20230729,2
cal3-sat-16,20230805,2
cal3-sat-16,20230812,2
cal3-sat-16,20230819,2
cal3-sat-16,20230826,2
cal3-sat-16,20230902,2
cal3-sat-16,20231028,2
cal3-sat-16,20231104,2
cal3-sat-16,20231111,2
cal4-mon-tue-thu-47,20230213,2
cal4-mon-tue-thu-47,20230214,2
cal4-mon-tue-thu-47,20230216,2
cal4-mon-tue-thu-47,20230220,2
cal4-mon-tue-thu-47,20230221,2
cal4-mon-tue-thu-47,20230223,2
cal4-mon-tue-thu-47,20230410,2
cal4-mon-tue-thu-47,20230417,2
cal4-mon-tue-thu-47,20230418,2
cal4-mon-tue-thu-47,20230420,2
cal4-mon-tue-thu-47,20230424,2
cal4-mon-tue-thu-47,20230425,2
cal4-mon-tue-thu-47,20230427,2
cal4-mon-tue-thu-47,20230501,2
cal4-mon-tue-thu-47,20230508,2
cal4-mon-tue-thu-47,20230518,2
cal4-mon-tue-thu-47,20230529,2
cal4-mon-tue-thu-47,20230710,2
cal4-mon-tue-thu-47,20230711,2
cal4-mon-tue-thu-47,20230713,2
cal4-mon-tue-thu-47,20230717,2
cal4-mon-tue-thu-47,20230718,2
cal4-mon-tue-thu-47,20230720,2
cal4-mon-tue-thu-47,20230724,2
cal4-mon-tue-thu-47,20230725,2
cal4-mon-tue-thu-47,20230727,2
cal4-mon-tue-thu-47,20230731,2
cal4-mon-tue-thu-47,20230801,2
cal4-mon-tue-thu-47,20230803,2
cal4-mon-tue-thu-47,20230807,2
cal4-mon-tue-thu-47,20230808,2
cal4-mon-tue-thu-47,20230810,2
cal4-mon-tue-thu-47,20230814,2
cal4-mon-tue-thu-47,20230815,2
cal4-mon-tue-thu-47,20230817,2
cal4-mon-tue-thu-47,20230821,2
cal4-mon-tue-thu-47,20230822,2
cal4-mon-tue-thu-47,20230824,2
cal4-mon-tue-thu-47,20230828,2
cal4-mon-tue-thu-47,20230829,2
cal4-mon-tue-thu-47,20230831,2
cal4-mon-tue-thu-47,20231023,2
cal4-mon-tue-thu-47,20231024,2
cal4-mon-tue-thu-47,20231026,2
cal4-mon-tue-thu-47,20231030,2
cal4-mon-tue-thu-47,20231031,2
cal4-mon-tue-thu-47,20231102,2
cal5-wed-14,20230215,2
cal5-wed-14,20230222,2
cal5-wed-14,20230419,2
cal5-wed-14,20230426,2
cal5-wed-14,20230712,2
cal5-wed-14,20230719,2
cal5-wed-14,20230726,2
cal5-wed-14,20230802,2
cal5-wed-14,20230809,2
cal5-wed-14,20230816,2
cal5-wed-14,20230823,2
cal5-wed-14,20230830,2
cal5-wed-14,20231025,2
cal5-wed-14,20231101,2
cal6-fri-15,20230217,2
cal6-fri-15,20230224,2
cal6-fri-15,20230421,2
cal6-fri-15,20230428,2
cal6-fri-15,20230519,2
cal6-fri-15,20230714,2
cal6-fri-15,20230721,2
cal6-fri-15,20230728,2
cal6-fri-15,20230804,2
cal6-fri-15,20230811,2
cal6-fri-15,20230818,2
cal6-fri-15,20230825,2
cal6-fri-15,20230901,2
cal6-fri-15,20231027,2
cal6-fri-15,20231103,2
cal7-mon-tue-thu-fri-62,20230213,2
cal7-mon-tue-thu-fri-62,20230214,2
cal7-mon-tue-thu-fri-62,20230216,2
cal7-mon-tue-thu-fri-62,20230217,2
cal7-mon-tue-thu-fri-62,20230220,2
cal7-mon-tue-thu-fri-62,20230221,2
cal7-mon-tue-thu-fri-62,20230223,2
cal7-mon-tue-thu-fri-62,20230224,2
cal7-mon-tue-thu-fri-62,20230410,2
cal7-mon-tue-thu-fri-62,20230417,2
cal7-mon-tue-thu-fri-62,20230418,2
cal7-mon-tue-thu-fri-62,20230420,2
cal7-mon-tue-thu-fri-62,20230421,2
cal7-mon-tue-thu-fri-62,20230424,2
cal7-mon-tue-thu-fri-62,20230425,2
cal7-mon-tue-thu-fri-62,20230427,2
cal7-mon-tue-thu-fri-62,20230428,2
cal7-mon-tue-thu-fri-62,20230501,2
cal7-mon-tue-thu-fri-62,20230508,2
cal7-mon-tue-thu-fri-62,20230518,2
cal7-mon-tue-thu-fri-62,20230519,2
cal7-mon-tue-thu-fri-62,20230529,2
cal7-mon-tue-thu-fri-62,20230710,2
cal7-mon-tue-thu-fri-62,20230711,2
cal7-mon-tue-thu-fri-62,20230713,2
cal7-mon-tue-thu-fri-62,20230714,2
cal7-mon-tue-thu-fri-62,20230717,2
cal7-mon-tue-thu-fri-62,20230718,2
cal7-mon-tue-thu-fri-62,20230720,2
cal7-mon-tue-thu-fri-62,20230721,2
cal7-mon-tue-thu-fri-62,20230724,2
cal7-mon-tue-thu-fri-62,20230725,2
cal7-mon-tue-thu-fri-62,20230727,2
cal7-mon-tue-thu-fri-62,20230728,2
cal7-mon-tue-thu-fri-62,20230731,2
cal7-mon-tue-thu-fri-62,20230801,2
cal7-mon-tue-thu-fri-62,20230803,2
cal7-mon-tue-thu-fri-62,20230804,2
cal7-mon-tue-thu-fri-62,20230807,2
cal7-mon-tue-thu-fri-62,20230808,2
cal7-mon-tue-thu-fri-62,20230810,2
cal7-mon-tue-thu-fri-62,20230811,2
cal7-mon-tue-thu-fri-62,20230814,2
cal7-mon-tue-thu-fri-62,20230815,2
cal7-mon-tue-thu-fri-62,20230817,2
cal7-mon-tue-thu-fri-62,20230818,2
cal7-mon-tue-thu-fri-62,20230821,2
cal7-mon-tue-thu-fri-62,20230822,2
cal7-mon-tue-thu-fri-62,20230824,2
